SEQNUM,BIN_ACCOUNT_MIN_LENGTH,BIN_ACCOUNT_MAX_LENGTH,BIN_ACCOUNT_RANGE_LOW,BIN_ACCOUNT_RANGE_HIGH,BIN_CARD_TYPE,BIN_MOD10_CHECK,BIN_EXPIRY_DATE_CHECK,BIN_PROMPT_CVV,BIN_PROMPT_AVS,BIN_CARD_NAME,BIN_CARD_MNEMONICS,BIN_OFFLINE_FLOOR_LIMIT,BIN_QPS_FLOOR_LIMIT,BIN_DURBIN_BIN_REG_INDICATOR,BIN_IS_WHITELISTED
1,16,16,400057000,400057999,NNNNNNNYNNNN,1,1,1,0,FSA HSA,VI,0,0,0,0
2,16,16,400510000,400510999,NNNNNNNYNNNN,1,1,1,0,FSA HSA,VI,0,0,0,0
3,16,16,400511000,400511999,NNNNNNNYNNNN,1,1,1,0,FSA HSA,VI,0,0,0,0
4,16,16,401526000,401526999,NNNNNNNYNNNN,1,1,1,0,FSA HSA,VI,0,0,0,0
5,16,16,401879000,401879999,NNNNNNNYNNNN,1,1,1,0,FSA HSA,VI,0,0,0,0
6,16,16,402472000,402472999,NNNNNNNYNNNN,1,1,1,0,FSA HSA,VI,0,0,0,0
7,16,16,402757000,402757999,NNNNNNNYNNNN,1,1,1,0,FSA HSA,VI,0,0,0,0
8,16,16,402758000,402758999,NNNNNNNYNNNN,1,1,1,0,FSA HSA,VI,0,0,0,0
9,16,16,403133000,403133999,NNNNNNNYNNNN,1,1,1,0,FSA HSA,VI,0,0,0,0
10,16,16,403619000,403619999,NNNNNNNYNNNN,1,1,1,0,FSA HSA,VI,0,0,0,0
11,16,16,404962000,404962999,NNNNNNNYNNNN,1,1,1,0,FSA HSA,VI,0,0,0,0
12,16,16,405817000,405817999,NNNNNNNYNNNN,1,1,1,0,FSA HSA,VI,0,0,0,0
13,16,16,407310000,407310999,NNNNNNNYNNNN,1,1,1,0,FSA HSA,VI,0,0,0,0
14,16,16,412410000,412410999,NNNNNNNYNNNN,1,1,1,0,FSA HSA,VI,0,0,0,0
15,16,16,421692000,421692999,NNNNNNNYNNNN,1,1,1,0,FSA HSA,VI,0,0,0,0
16,16,16,423190000,423190499,NNNNNNNYNNNN,1,1,1,0,FSA HSA,VI,0,0,0,0
17,16,16,423190500,423190599,NNNNNNNYNNNN,1,1,1,0,FSA HSA,VI,0,0,0,0
18,16,16,423190600,423190999,NNNNNNNYNNNN,1,1,1,0,FSA HSA,VI,0,0,0,0
19,16,16,424040000,424040999,NNNNNNNYNNNN,1,1,1,0,FSA HSA,VI,0,0,0,0
20,16,16,425420000,425420999,NNNNNNNYNNNN,1,1,1,0,FSA HSA,VI,0,0,0,0
21,16,16,430785000,430785999,NNNNNNNYNNNN,1,1,1,0,FSA HSA,VI,0,0,0,0
22,16,16,430786000,430786999,NNNNNNNYNNNN,1,1,1,0,FSA HSA,VI,0,0,0,0
23,16,16,430789000,430789999,NNNNNNNYNNNN,1,1,1,0,FSA HSA,VI,0,0,0,0
24,16,16,434890000,434890999,NNNNNNNYNNNN,1,1,1,0,FSA HSA,VI,0,0,0,0
25,16,16,435165000,435165999,NNNNNNNYNNNN,1,1,1,0,FSA HSA,VI,0,0,0,0
26,16,16,435557000,435557999,NNNNNNNYNNNN,1,1,1,0,FSA HSA,VI,0,0,0,0
27,16,16,435770000,435770999,NNNNNNNYNNNN,1,1,1,0,FSA HSA,VI,0,0,0,0
28,16,16,437319000,437319999,NNNNNNNYNNNN,1,1,1,0,FSA HSA,VI,0,0,0,0
29,16,16,439341000,439341999,NNNNNNNYNNNN,1,1,1,0,FSA HSA,VI,0,0,0,0
30,16,16,439342000,439342999,NNNNNNNYNNNN,1,1,1,0,FSA HSA,VI,0,0,0,0
31,16,16,445089000,445089999,NNNNNNNYNNNN,1,1,1,0,FSA HSA,VI,0,0,0,0
32,16,16,447983000,447983999,NNNNNNNYNNNN,1,1,1,0,FSA HSA,VI,0,0,0,0
33,16,16,449270867,449270867,NNNNNNNYNNNN,1,1,1,0,FSA HSA,VI,0,0,0,0
34,16,16,449270870,449270872,NNNNNNNYNNNN,1,1,1,0,FSA HSA,VI,0,0,0,0
35,16,16,449270878,449270878,NNNNNNNYNNNN,1,1,1,0,FSA HSA,VI,0,0,0,0
36,16,16,449270881,449270881,NNNNNNNYNNNN,1,1,1,0,FSA HSA,VI,0,0,0,0
37,16,16,449270885,449270885,NNNNNNNYNNNN,1,1,1,0,FSA HSA,VI,0,0,0,0
38,16,16,449270888,449270888,NNNNNNNYNNNN,1,1,1,0,FSA HSA,VI,0,0,0,0
39,16,16,449270891,449270892,NNNNNNNYNNNN,1,1,1,0,FSA HSA,VI,0,0,0,0
40,16,16,449270894,449270895,NNNNNNNYNNNN,1,1,1,0,FSA HSA,VI,0,0,0,0
41,16,16,449270897,449270897,NNNNNNNYNNNN,1,1,1,0,FSA HSA,VI,0,0,0,0
42,16,16,449270900,449270901,NNNNNNNYNNNN,1,1,1,0,FSA HSA,VI,0,0,0,0
43,16,16,449270903,449270903,NNNNNNNYNNNN,1,1,1,0,FSA HSA,VI,0,0,0,0
44,16,16,449270906,449270906,NNNNNNNYNNNN,1,1,1,0,FSA HSA,VI,0,0,0,0
45,16,16,449270909,449270909,NNNNNNNYNNNN,1,1,1,0,FSA HSA,VI,0,0,0,0
